ID,Block,Chapter / Subtopic,Question Type,Question Text,Data / Paragraph,Option A,Option B,Option C,Option D,Option E,Correct Answer,Difficulty Level
Q134,Arithmetic,"Ratio, Proportion & Variance",MCQ,"A 729 L honey barrel: each time ‘a’ L removed, replaced with water, repeated 6 times → 64 L honey left. Find a.",,243 L, 81 L, 2.7 L, 3 L,,A,Difficult
Q135,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two alloys: Ni:Sn = 5:2 and 3:4. How many kg of each to get 28 kg alloy with equal Ni & Sn?,,9 & 22, 17 & 11, 7 & 21, 8 & 20,,C,Difficult
Q136,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two alloys Al:Fe = 4:1 and 1:3; 10 kg + 16 kg + pure Al added → Al:Fe = 3:2. Find total wt. of new alloy.,,15,35,65,95,,B,Difficult
Q137,Arithmetic,"Ratio, Proportion & Variance",MCQ,"Two alloys of gold, silver, platinum: first 40% Pt, second 26% Ag, same % of Au. 150 kg + 250 kg → 30% Au. Find platinum.",,170 kg, 175 kg, 160 kg, 165 kg,,A,Difficult
Q138,Arithmetic,"Ratio, Proportion & Variance",MCQ,Two iron alloys (6 kg & 12 kg). Equal parts cut and interchanged → % of iron equalized. Find wt. of each cut piece.,,4 kg, 2 kg, 3 kg, 5 kg,,A,Difficult
Q139,Arithmetic,Time & Work,Case Study,Design and development,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,,,,,Difficult
Q140,Arithmetic,Time & Work,Case Study,Prototype creation,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,,,,,Difficult
Q141,Arithmetic,Time & Work,Case Study,Market survey,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,,,,,Difficult
Q142,Arithmetic,Time & Work,Case Study,Manufacturing setup,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,,,,,Difficult
Q143,Arithmetic,Time & Work,Case Study,Marketing and launch,DIRECTIONS & DATA Directions for questions 1 to 10: Study the following tables and answers the questions that follow. Darbar toy company has to go through the following stages for the launch of a new toy: Stages (man-days required),,,,,,,Difficult
Q144,Arithmetic,Time & Work,Case Study,"Given this situation, the minimum number of days in which the company can launch a new toy going through all the stages is","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",40 days, 40.5 days, 45 days, 44 days,,B,Difficult
Q145,Arithmetic,Time & Work,Case Study,"If A and C refuse to have anything to do with the manufacturing setup, the number of days by which the project will get delayed will be","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",5 days, 4 days, 3 days, 6 days,,B,Difficult
Q146,Arithmetic,Time & Work,Case Study,"If each of the five works is equally valued at `10,000, the maximum amount will be received by","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",A, C, D, E,,B,Difficult
Q147,Arithmetic,Time & Work,Case Study,"For question 3, the second highest amount will be received by","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",A, C, D, E,,D,Difficult
Q148,Arithmetic,Time & Work,Case Study,"If C works at 90.909% of his efficiency during marketing and launch, who will be highest paid amongst the five of them?","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",A, C, D, E,,B,Difficult
Q149,Arithmetic,Time & Work,Case Study,"If the company decides that the first 4 works can be started simultaneously and the experts will be allocated to their respective work areas only and a work will be done by a non-expert only if the work in his area of expertise is completed, then the expert who will first be assisted in his work will be (marketing & launch only after first 4 complete)","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",A, B, C, D,,A,Difficult
Q150,Arithmetic,Time & Work,Case Study,"For Q6, the minimum number of days in which the whole project will get completed (efficient utilisation, nobody does a refused task)","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",22.5 days, 15 days, 24.75 days, 25.25 days,,C,Difficult
Q151,Arithmetic,Time & Work,Case Study,"For the situation in Q6, the highest earning will be for","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",A, both B and D, C, Cannot be determined,,D,Difficult
Q152,Arithmetic,Time & Work,Case Study,"If each work has an equal payment of `10,000, the lowest earning for the above situation will be for","Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",A, E, C, B,,C,Difficult
Q153,Arithmetic,Time & Work,Case Study,The value of the earning for the highest earning person (if Q6–Q9 data accurate) will be,"Use the data above to answer Q.1–Q.10. (Assume efficient utilization; non-experts can assist where allowed; if a worker refuses a task, they never do it.) QUESTIONS 1–10",19,312.5,13,250," 12,875, B",C,Difficult
Q154,Arithmetic,Time and Distance,MCQ,"The Sinhagad Express left Pune at noon. Two hours later, the Deccan Queen started from Pune in the same direction. The Deccan Queen overtook the Sinhagad Express at 8 p.m. Find the average speed of the two trains over this journey if the sum of their average speeds is 70 km/h.",,34.28 km/h, 35 km/h, 50 km/h, 12 km/h,,A,Very Easy
Q155,Arithmetic,Time and Distance,MCQ,"Walking at 3/4 of his normal speed, Abhishek is 16 minutes late in reaching his office. The usual time taken by him to cover the distance between his home and his office is",,48 minutes, 60 minutes, 42 minutes, 62 minutes,,A,Very Easy
Q156,Arithmetic,Time and Distance,MCQ,"Ram and Bharat travel the same distance at the rate of 6 km/h and 10 km/h respectively. If Ram takes 30 minutes longer than Bharat, the distance travelled by each is",,6 km, 10 km, 7.5 km, 20 km,,C,Very Easy
Q157,Arithmetic,Time and Distance,MCQ,Two trains for Mumbai leave Delhi at 6:00 a.m. and 6:45 a.m. and travel at 100 kmph and 136 kmph respectively. How many kilometres from Delhi will the two trains be together?,,262.4 km, 260 km, 283.33 km, 275 km,,C,Very Easy
Q158,Arithmetic,Time and Distance,MCQ,"Two trains, Calcutta Mail and Bombay Mail, start at the same time from Kolkata and Mumbai respectively towards each other. After passing each other, they take 12 hours and 3 hours to reach Mumbai and Kolkata respectively. If the Calcutta Mail is moving at the speed of 48 km/h, the speed of the Bombay Mail is",,24 km/h, 22 km/h, 21 km/h, 96 km/h,,D,Very Easy
Q159,Arithmetic,Time and Distance,MCQ,"Shyam’s house, his office and his gym are all equidistant from each other. The distance between any 2 of them is 4 km. Shyam starts walking from his gym in a direction parallel to the road connecting his office and his house and stops when he reaches a point directly east of his office. He then reverses direction and walks till he reaches a point directly south of his office. The total distance walked by Shyam is",,6 km, 9 km, 16 km, 12 km,,D,Very Easy
Q160,Arithmetic,Time and Distance,MCQ,"Lonavala and Khandala are two stations 600 km apart. A train starts from Lonavala at 25 km/h. After two hours, another train starts from Khandala at 35 km/h. How far from Lonavala will they cross?",,250 km, 300 km, 279.166 km, 475 km,,C,Very Easy
Q161,Arithmetic,Time and Distance,MCQ,"Walking at 3/4 of his normal speed, a man takes 2½ hours more than the normal time. Find the normal time.",,7.5 h, 6 h, 8 h, 12 h,,A,Very Easy
Q162,Arithmetic,Time and Distance,MCQ,Alok walks to a viewpoint and returns to the starting point by his car and thus takes a total time of 6 h 45 min. He would have gained 2 hours by driving both ways. How long would it have taken for him to walk both ways?,,8 h 45 min, 7 h 45 min, 5 h 30 min, 6 h 45 min,,A,Very Easy
Q163,Arithmetic,Time and Distance,MCQ,Sambhu beats Kalu by 30 metres or 10 seconds. How much time was taken by Sambhu to complete a race 1200 metres?,,6 min 30 s, 3 min 15 s, 12 min 10 s, 2 min 5 s,,A,Very Easy
Q164,Arithmetic,Time and Distance,MCQ,What is the time taken by Chandu to cover a distance of 360 km by a motorcycle moving at a speed of 10 m/s?,,10 h, 5 h, 8 h, 6 h,,A,Very Easy
Q165,Arithmetic,Time and Distance,MCQ,"Without stoppage, a train travels a certain distance at 60 km/h, and with stoppage it covers the same distance at 40 km/h. On average, how many minutes per hour does the train stop during the journey?",,20 min/h, 15 min/h, 10 min/h, 10 min/h,,A,Very Easy
Q166,Arithmetic,Time and Distance,MCQ,Rajdhani Express travels 650 km in 5 h and another 940 km in 10 h. What is the average speed of the train?,,1590 km/h, 168 km/h, 106 km/h, 126 km/h,,C,Very Easy
Q167,Arithmetic,Time and Distance,MCQ,"Rishikant travels 20 min at 30 km/h, 30 min at 50 km/h, 1 h at 50 km/h and 1 h at 60 km/h. What is the average velocity?",,51.18 km/h, 63 km/h, 39 km/h, 48 km/h,,A,Very Easy
Q168,VARC,GRAMMAR,Error Spotting,The King was embarrassed (A)/ to find evidences (B)/ against his own queen. (C)/ No error(D),,The King was embarrassed,to find evidences,against his own queen,No error,,B,Very Easy
Q169,VARC,GRAMMAR,Error Spotting,He waved us a good bye (A)/ as he boarded the train (B)/ which disappeared into the tunnel. (C)/ No error (D),,He waved us a good bye,as he boarded the train,which disappeared into the tunnel,No error,,A,Very Easy
Q170,VARC,GRAMMAR,Error Spotting,A small parcel (A)/ of novels are (B)/ better than none. (C)/ NO error (D),,A small parcel,of novels are,better than none,NO error,,B,Very Easy
Q171,VARC,GRAMMAR,Error Spotting,At the request of the Defence Attorney (A)/the Jury was called (B)/and their individual verdicts were recorded. (C)/No error (D),,At the request of the Defence Attorney,the Jury was called,and their individual verdicts were recorded,No error,,B,Very Easy
Q172,VARC,GRAMMAR,Error Spotting,My brother goes (A)/ to the office (B)/ five-day week. (C)/ No error (D),,My brother goes,to the office,five-day week,No error,,C,Very Easy
Q173,VARC,GRAMMAR,Error Spotting,Slow and steady (A)/ wins the race (B)/ as the wise would say. (C)/ No error (D),,Slow and steady,wins the race,as the wise would say,No error,,D,Very Easy
Q174,VARC,GRAMMAR,Error Spotting,We often hear people say (A)/ that most human beings have not evolved (B)/or grow up enough to stick to truth or non-violence.(C)/ No error (D),,We often hear people say,that most human beings have not evolved,or grow up enough to stick to truth or non-violence,No error,,C,Very Easy
Q175,VARC,GRAMMAR,Error Spotting,A time slot of fifteen minutes(A)/ are allowed(B)/ to each speaker.(C)/ No error (D),,A time slot of fifteen minutes,are allowed,to each speaker,No error,,B,Very Easy
Q176,VARC,GRAMMAR,Fill in the Blanks,Only one of the boys _____ not done the homework given yesterday.,,have,has,can,could,,B,Easy
Q177,VARC,GRAMMAR,Fill in the Blanks,His wife has a twin who resembles her so much that at first he had great trouble telling _____.,,one from the other,one from another,each other,who is which,,A,Easy
Q178,VARC,GRAMMAR,Fill in the Blanks,He _____ wants to succeed in life must be prepared to work hard.,,whoever,whom,which,what,,A,Easy
Q179,VARC,GRAMMAR,Fill in the Blanks,"Vinod, two of ___ brothers attend primary school, wishes to be a school teacher after his graduation from the University.",,whom,them,whose,which,,C,Easy
Q180,VARC,GRAMMAR,Fill in the Blanks,"Our new digital photo-print machine, the manual _____ is lost awaits to be set up properly.",,of what,where,by whom,of which,,D,Easy
Q181,VARC,GRAMMAR,Fill in the Blanks,I have never seen _____ animal before.,,any larger,as large,such a large,so large,,C,Easy
Q182,VARC,GRAMMAR,Fill in the Blanks,As soon as we arrived in the dormitory we _____ our pullovers.,,hang,hanged,hung,hungs,,C,Easy
Q183,VARC,GRAMMAR,Fill in the Blanks,Remember _____ your temper even when provoked.,,not to loose,not to lose,not losing,not to loss,,B,Easy
Q184,VARC,GRAMMAR,Fill in the Blanks,Difficulty after difficulty _____ in his way to success.,,arose,rose,roused,raise,,A,Easy
Q185,VARC,GRAMMAR,Fill in the Blanks,_____ our freedom is in danger.,,Arise,Rise,Raise,Arose,,A,Easy
Q186,VARC,GRAMMAR,Fill in the Blanks,One is _____ in duty to help the ageing parents.,,bound,bounded,binding,binded,,A,Easy
Q187,VARC,GRAMMAR,Error Spotting,Find the error in the sentence: Many a man want to be rich quickly.,,want to be,many a man,rich quickly,No error,,A,Moderate
Q188,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: We have **no less than** a thousand students in our College,,We have not less than a thousand students...,We have no less than thousand students...,We have no fewer than a thousand students...,No improvement,,C,Moderate
Q189,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: **Many a man** would welcome the opportunity.,,Many man,A many man,Many a men,No improvement,,D,Moderate
Q190,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: **English** opens the window upon the world's knowledge.,,The English,The English language,The English land,No improvement,,B,Moderate
Q191,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: What **you have been doing** in the workshop since last month?,,have you done,you have done,have you been doing,No improvement,,C,Moderate
Q192,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: You are asked to copy this letter **word by word**.,,word for word,word with word,word to word,No improvement,,A,Moderate
Q193,VARC,GRAMMAR,Sentence Improvement,"Improve the bold part: **Riding upon his horse, the tiger jumped at him.**",,"Riding upon the tiger, the horse jumped at him.",The tiger jumped at him while he was riding upon his horse.,The tiger rode at him while he was jumping upon his horse.,No improvement,,B,Moderate
Q194,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: I did not see him **since he wrote last.**,,I could not see him,I shall not see him,I have not seen him,No improvement,,C,Moderate
Q195,VARC,GRAMMAR,Sentence Improvement,"Improve the bold part: **If I hadn’t seen the car coming,** I might have been killed.",,If I had seen the car coming,When I hadn’t seen the car coming,Since I hadn’t seen the car coming,No improvement,,D,Moderate
Q196,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: The dictator **declared** an emergency in the country.,,proposed,decreed,ordered,No improvement,,D,Moderate
Q197,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: James **had been teaching** at the university since June.,,has been teaching,have been teaching,is teaching,No improvement,,A,Moderate
Q198,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: The manager’s role is to **define and resolve** problems.,,identify and resolved,defined and resolved,spot and resolved,No improvement,,D,Moderate
Q199,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: We kept all the old paintings in a place where they **would remain safe** from harm or danger.,,will remain safe,are safe,may remain safe,No improvement,,D,Moderate
Q200,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: **They left the hotel by car where they had been staying.**,,They left the hotel where they had been staying by car.,They left where they were staying in a hotel by car.,In a car they left where they were staying in a hotel,No improvement,,A,Moderate
Q201,VARC,GRAMMAR,Active/Passive Voice,Change the voice: The waiter filled the glasses with water.,,The glasses filled with water the waiter,The glasses were filled with water by the waiter,The waiter was filled the glasses with water,The water were filled on the glasses by waiter,,B,Difficult
Q202,VARC,GRAMMAR,Active/Passive Voice,Change the voice: She took the dog for a walk.,,The dog was taken for a walk by her,The dog took her for a walk,The dog was took for a walk,The dog took a walk by her,,A,Difficult
Q203,VARC,GRAMMAR,Active/Passive Voice,Change the voice: He was driving the car so fast that it skidded on the snowy road.,,The car was driven by him so fast that it skidded...,The car was being driven by him so fast that it skidded...,The car had been driven by him so fast that it skidded...,The car has been driven by him so fast that it skidded...,,B,Difficult
Q204,VARC,GRAMMAR,Active/Passive Voice,Change the voice: They will laugh at you.,,You can be laughed at by them,You may be laughed at by them,You will be laughed at by them,You will have been laughed at by them,,C,Difficult
Q205,VARC,GRAMMAR,Active/Passive Voice,Change the voice: Then her face was bowed.,,Then she was being bowed her face,Her face was bowed by then,Then she bowed her face,Then her face has been bowed,,C,Difficult
Q206,VARC,GRAMMAR,Error Spotting,Spot the error: He informed (A)/ for me(B)/ to the police.(C)/ No error.(D),,He informed,for me,to the police,No error,,B,Difficult
Q207,VARC,GRAMMAR,Error Spotting,Spot the error: It is wishful(A)/thinking that you can improve the situation(B)/ by doing with such people. (C)/No error. (D),,It is wishful,thinking that you can improve the situation,by doing with such people,No error,,C,Difficult
Q208,VARC,GRAMMAR,Error Spotting,Spot the error: He is(A)/now looking(B)/about a job.(C)/ No error. (D),,He is,now looking,about a job,No error,,C,Difficult
Q209,VARC,GRAMMAR,Error Spotting,Spot the error: Do not(A)/look left(B)/on women. (C)/ No error. (D),,Do not,look left,on women,No error,,B,Difficult
Q210,VARC,GRAMMAR,Error Spotting,Spot the error: It was I who was responsible of(A)/making all the arrangements for the(B)/ successful completion of his studies.(C)/No error. (D),,It was I who was responsible of,making all the arrangements for the,successful completion of his studies,No error,,A,Difficult
Q211,VARC,GRAMMAR,Sentence Improvement,"Improve the bold part: Goaded to frenzy, **the bull charged its tormentors.**",,the tormentors were charged by the bull,the tormentors were being charged by the bull,the bull charged on its tormentors,No improvement,,D,Difficult
Q212,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: This is the **late** edition of the Shakespearean play which was originally published in 1603.,,later,latest,latter,No improvement,,B,Difficult
Q213,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: Diamonds are **eternal.**,,enduring,forever,imperishable,No improvement,,C,Difficult
Q214,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: Jatin's case against Jagat was **trivial.**,,insignificant,harmful,tolerable,No improvement,,A,Difficult
Q215,VARC,GRAMMAR,Sentence Improvement,Improve the sentence: My sister doesn't have as much jewellery my mother.,,My mother has jewellery but not more than my sister.,My sister has too much jewellery.,My mother has more jewellery than my sister.,No improvement,,C,Difficult
Q216,VARC,FILL IN THE BLANKS,Vocabulary,The company let me _____time off work.,,take,taking,to take,took,,A,Very Easy
Q217,VARC,FILL IN THE BLANKS,Grammar,I assume _____with me.,,everyone agreeing,that everyone agrees,everyone to agree,that everyone to agree,,B,Very Easy
Q218,VARC,FILL IN THE BLANKS,Vocabulary,"_____the rain forests is very important, if we do not want the flora and fauna found there to become extinct.",,Reserving,Destroying,Preserving,Maintaining,,C,Very Easy
Q219,VARC,FILL IN THE BLANKS,Grammar,I haven't had _____opportunity to study during the day.,,very,many,much,more,,C,Very Easy
Q220,VARC,FILL IN THE BLANKS,Phrasal Verbs,When will you hand _____ your assignment?,,in,back,down,into,,A,Very Easy
Q221,VARC,FILL IN THE BLANKS,Prepositions,The resort is_____ the lake.,,from,has,besides,beside,,D,Very Easy
Q222,VARC,FILL IN THE BLANKS,Prepositions,The monitor takes care _____the class_____ the absence of the teacher.,,in; at,of; in,during; in,of; for,,B,Very Easy
Q223,VARC,FILL IN THE BLANKS,Prepositions,"When he saw the fish swimming _____the river, he was extremely happy.",,on,besides,in,at,,C,Very Easy
Q224,VARC,FILL IN THE BLANKS,Grammar,"The railway coaches_____ by the Integral Coach Factory, Chennai.",,is manufactured,are manufactured,are manufacture,is being manufactured,,B,Very Easy
Q225,VARC,FILL IN THE BLANKS,Vocabulary,The truck was _____ when the bus rammed into it.,,stationery,machinery,machinery,stationary,,D,Very Easy
Q226,VARC,FILL IN THE BLANKS,Grammar,The teacher let us_____.,,to go early,to leave early,go early,early to go,,C,Very Easy
Q227,VARC,FILL IN THE BLANKS,Prepositions,Jane is annoyed ______,,on me,with me,against me,over me,,B,Very Easy
Q228,VARC,FILL IN THE BLANKS,Prepositions,A big dictionary _____ the table near the door.,,are on,is over,is on,is up,,C,Easy
Q229,VARC,FILL IN THE BLANKS,Articles,_____Australian and_____ European are there among the tourists.,,"An, an","The, the","An, a","A, an",,C,Easy
Q230,VARC,FILL IN THE BLANKS,Vocabulary,I have been looking for an apartment and I finally found the _____one.,,good,airy,cheap,perfect,,D,Easy
Q231,VARC,FILL IN THE BLANKS,Prepositions,The youth should believe _____God.,,upon,in,on,of,,B,Easy
Q232,VARC,FILL IN THE BLANKS,Prepositions,He was born_____ India.,,off,in,of,through,,B,Easy
Q233,VARC,FILL IN THE BLANKS,Phrasal Verbs,The convict tried his level best to justify himself but the judge looked_____ him and found him guilty.,,around,at,through,to,,B,Easy
Q234,VARC,FILL IN THE BLANKS,Vocabulary,His opponents launched a political _____against him.,,regimen,remission,regale,tirade,,D,Easy
Q235,VARC,FILL IN THE BLANKS,Vocabulary,What an_____ story! I am not _____enough yet to believe it.,,incredible/credulous,incredulous/credible,increditable/believable,unbelievable/creditable,,A,Easy
Q236,VARC,FILL IN THE BLANKS,Vocabulary,"Though this blanket is not made of wool, it has a ____texture.",,wool,woollen,woolly,woolish,,C,Easy
Q237,VARC,FILL IN THE BLANKS,Vocabulary,None of the guests ate much at the party because the food looked _____.,,unapproachable,unauthorized,unceremonious,unappetizing,,D,Easy
Q238,VARC,FILL IN THE BLANKS,Prepositions,Trust _____ God and do the right.,,in,with,at,by,,A,Easy
Q239,VARC,FILL IN THE BLANKS,Phrasal Verbs,The accused was _____ as the counsel could not produce a witness.,,let out,let off,let on,let aside,,B,Easy
Q240,VARC,FILL IN THE BLANKS,Grammar,_____thousand species of butterflies have been identified.,,As many as,As many,As much as,Much as,,A,Moderate
Q241,VARC,FILL IN THE BLANKS,Vocabulary,He_____ his mistake.,,understood,solved,finished,realised,,D,Moderate
Q242,VARC,FILL IN THE BLANKS,Prepositions,Hard working people always succeed_____ whatever they do.,,over,on,with,in,,D,Moderate
Q243,VARC,FILL IN THE BLANKS,Grammar,It has been years since I last _____him.,,had met,met,meet,have met,,B,Moderate
Q244,VARC,FILL IN THE BLANKS,Prepositions,These murals are typical _____Tamil Nadu.,,for,on,with,of,,D,Moderate
Q245,VARC,FILL IN THE BLANKS,Prepositions,The flight will land _____ six this evening.,,in,on,at,upon,,C,Moderate
Q246,VARC,FILL IN THE BLANKS,Vocabulary,I saw a _____ of cattle grazing in the meadow.,,herd,bunch,group,litter,,A,Moderate
Q247,VARC,FILL IN THE BLANKS,Vocabulary,Our flight was_____ from Jaipur to Agra airport.,,shifted,diverted,reverted,deflected,,B,Moderate
Q248,VARC,FILL IN THE BLANKS,Vocabulary,In these days of inflation we all have to_____ our belts.,,shorten,strengthen,tighten,lesson,,C,Moderate
Q249,VARC,FILL IN THE BLANKS,Vocabulary,"He made a powerful_____ in the region, and people felt he would make a good leader in the days to come.",,impression,discursive,marked,interest,,A,Moderate
Q250,VARC,FILL IN THE BLANKS,Vocabulary,The father_____ the throne for his son.,,reverted,relished,relinquished,revived,,C,Moderate
Q251,VARC,FILL IN THE BLANKS,Vocabulary,One who tries may fail but one who does not try never_____.,,succeeds,success,prosper,gain,,A,Moderate
Q252,VARC,FILL IN THE BLANKS,Phrasal Verbs,The lady_____ to be a close relative of ours.,,turned out,turned in,turned up,turned about,,A,Moderate
Q253,VARC,FILL IN THE BLANKS,Prepositions,We all have_____ the widowed girl.,,sympathy at,sympathy for,sympathy with,sympathy of,,B,Moderate
Q254,VARC,FILL IN THE BLANKS,Vocabulary,They organized an event last month in _____with another company.,,competition,collaboration,connection,regulation,,B,Difficult
Q255,VARC,FILL IN THE BLANKS,Vocabulary,He_____ to help me and called me a fool.,,refused,denied,offered,thought,,A,Difficult
Q256,VARC,FILL IN THE BLANKS,Prepositions,The river abounds _____ fish and crocodiles.,,with,of,at,on,,A,Difficult
Q257,VARC,FILL IN THE BLANKS,Vocabulary,The auditor was asked to _____ the accounts.,,count,check,spot,cheque,,B,Difficult
Q258,VARC,FILL IN THE BLANKS,Phrasal Verbs,Every student had to abide _____the rules and regulations of the hostel.,,in,by,against,with,,B,Difficult
Q259,VARC,FILL IN THE BLANKS,Prepositions,Coventry is _____ Birmingham.,,nearby,next,beside,near,,D,Difficult
Q260,VARC,FILL IN THE BLANKS,Vocabulary,"To err is_____, to forgive divine.",,human,natural,kindness,humane,,A,Difficult
Q261,VARC,FILL IN THE BLANKS,Prepositions,Next summer we're going _____ a trip to Canada.,,to,on,for,over,,B,Difficult
Q262,VARC,FILL IN THE BLANKS,Phrasal Verbs,Some interesting matters_____ in our discussion yesterday.,,came in,came up,got up,came about,,B,Difficult
Q263,VARC,FILL IN THE BLANKS,Vocabulary,"As soon as this workshop is over, I am going to ______ every duty and go on a holiday.",,sidetrack,overthrow,close down,abandon,,D,Difficult
Q264,VARC,FILL IN THE BLANKS,Vocabulary,He loaded the ______of cotton on the truck.,,bundles,bales,baskets,bunches,,B,Difficult
Q265,VARC,FILL IN THE BLANKS,Vocabulary,"Poetry is a _____ form of expression in which the particularity of the word and the image to evoke feeling, assumes great importance.",,suppressed,patronized,digressed,compressed,,D,Difficult
Q266,VARC,IDIOMS AND PHRASES,Idiom Meaning,Whoop it up,,be continually reminded of an unpleasant topic,"enjoying in noisy way, usually in a group",be totally ignorant or incompetent,used as an exhortation to overcome or be rid of something.,,B,Very Easy
Q267,VARC,IDIOMS AND PHRASES,Idiom Meaning,With a vengeance,,A complete disaster,having similar views or attitude to something,To look out for something without particular attention,Used to emphasize the degree to which somethings occurs,,D,Very Easy
Q268,VARC,IDIOMS AND PHRASES,Idiom Meaning,Up against the wall,,To take care of themselves and their own interests and safety,In a disorderly fashion,In an inextricable situation,Performing well in a difficult or competitive situation,,C,Very Easy
Q269,VARC,IDIOMS AND PHRASES,Idiom Meaning,Reap the whirlwind,,Providing that other factors or circumstance remain the same.,Suffer negative consequence as a result of one’s actions,An Indication that something is accepted or regarded favourably,Believing that moderation is more satisfying than excess,,B,Very Easy
Q270,VARC,IDIOMS AND PHRASES,Idiom Meaning,of the first water,,leading a comfortable life,acting contrary to the one's interests,critically important,of the best quality,,D,Very Easy
Q271,VARC,IDIOMS AND PHRASES,Idiom Meaning,weather the storm,,be absolutely unwilling to cooperate,fall over in a sudden or dramatic way,survive a period of difficulty,dispute a decision or choice already made,,C,Very Easy
Q272,VARC,IDIOMS AND PHRASES,Idiom Meaning,spin your wheels,,set an activity in motion,waste your time or efforts,a firmly held belief,with great affection or enthusiasm,,B,Very Easy
Q273,VARC,IDIOMS AND PHRASES,Idiom Meaning,wear the green willow,,to do something for someone as an act of kindness,suffer unrequited love,cause someone to be very frightened,producing a lavish celebrating feast,,B,Very Easy
Q274,VARC,IDIOMS AND PHRASES,Idiom Meaning,wild and woolly,,uncouth in appearance or behaviour,either too much of something or too little,near to perfection,ignoring all obligations,,A,Very Easy
Q275,VARC,IDIOMS AND PHRASES,Idiom Meaning,give it a whirl,,to be engaged in cheating,to completely destroy something,attach or criticize someone,to try out something,,D,Very Easy
Q276,VARC,IDIOMS AND PHRASES,Idiom Meaning,alarums and Excursions,,value for money and time,confused activity and uproar,source of fun or amusement,derive excitement or pleasure from,,B,Very Easy
Q277,VARC,IDIOMS AND PHRASES,Idiom Meaning,up in the air (about someone or something),,in prison,still to be settled,on the wrong track,enjoying great success,,B,Very Easy
Q278,VARC,IDIOMS AND PHRASES,Idiom Meaning,give oneself airs,,be intelligent,penniless,pretend to be good,prepare for a difficulty,,C,Very Easy
Q279,VARC,IDIOMS AND PHRASES,Idiom Meaning,alphabet Soup,,incomprehensible or confusing mix,something outstandingly good,fashionable and glamorous,privileged people,,A,Easy
Q280,VARC,IDIOMS AND PHRASES,Idiom Meaning,be all one to,,succeed in doing something,searching thoroughly,not in keeping with the rules,make no difference,,D,Easy
Q281,VARC,IDIOMS AND PHRASES,Idiom Meaning,an article of faith,,a formula for carrying a curse on someone,become very successful or famous,a firmly held belief,angry or Agitated,,C,Easy
Q282,VARC,IDIOMS AND PHRASES,Idiom Meaning,in the ascendant,,a general view from above,rising in power or influence,to reject someone,waiting quietly for a good opportunity,,B,Easy
Q283,VARC,IDIOMS AND PHRASES,Idiom Meaning,bring home the bacon,,an action to be taken when all else fails,be grateful for what we have,supply material support,setback for someone or something,,C,Easy
